neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
7,1,3,1,0,171
20,1,5,1,344,137
32,1,3,1,0,200
8,1,2,1,51,200
54,1,3,1,167,75
13,0,2,2,331,95
43,1,1,2,0,150
19,0,1,1,5,95
43,1,3,1,243,360
9,0,2,1,0,100
33,0,4,1,0,89
19,1,3,1,74,129
77,1,5,1,0,139
56,0,5,2,249,80
19,0,1,2,335,100
2,1,2,1,18,99
2,0,1,1,309,80
21,1,3,1,0,215
8,1,1,1,0,250
6,1,4,1,11,150
2,0,1,2,340,73
43,1,2,1,335,250
2,0,1,1,0,55
157,2,1,1,88,40
15,0,1,1,0,60
32,1,2,1,0,125
1,1,8,1,0,141
8,1,1,1,0,190
16,0,1,1,0,130
22,1,7,2,281,92
16,0,2,1,85,97
7,0,7,47,362,99
8,1,30,232,334,377
30,0,9,1,0,45
12,1,2,1,0,135
28,1,14,1,25,400
21,1,1,4,197,85
125,0,1,2,157,60
6,1,30,1,0,80
21,0,7,1,0,40
20,1,1,1,22,95
4,0,3,2,125,89
44,2,30,6,365,30
12,0,5,1,0,55
2,0,1,2,0,70
7,0,2,1,26,129
27,1,3,1,0,198
132,0,1,1,180,175
116,0,3,1,351,60
28,0,2,6,351,500
31,0,30,103,269,50
14,1,1,1,0,180
6,1,4,1,76,140
54,0,3,3,320,45
11,1,2,1,0,250
81,0,1,4,180,51
49,1,3,1,11,130
20,0,4,2,159,70
79,1,14,1,0,88
10,1,6,3,0,90
2,1,2,1,0,650
3,0,7,1,89,70
10,1,3,1,301,150
6,1,100,1,0,160
5,1,30,91,310,200
4,1,1,1,66,175
75,2,1,1,89,40
15,0,1,1,0,32
30,1,1,1,0,125
64,1,2,1,0,85
30,0,30,1,90,75
3,0,2,1,0,63
4,2,1,7,90,45
19,1,30,4,137,10
21,1,7,1,66,90
28,1,1,1,296,264
